"Package","Version"
"lava","1.8.2"
"lavaSearch2","2.0.3"
"lavaan","0.6-21"
"lazyeval","0.2.2"
"lcmm","2.2.2"
"leaflet.providers","2.0.0"
"leafpop","0.1.0"
"leaps","3.2"
"leiden","0.4.3.1"
"leidenAlg","1.1.6"
"leidenbase","0.1.36"
"lfe","3.1.1"
"lhs","1.2.1"
"libcoin","1.0-11"
"lifecycle","1.0.5"
"limma","3.46.0"
"listenv","0.10.1"
"listviewer","4.0.0"
"litedown","0.9"
"lme4","2.0-1"
"lmerTest","3.2-1"
"lmtest","0.9-40"
"locatexec","0.1.1"
"locfit","1.5-9.4"
"logistf","1.26.1"
"logspline","2.1.22"
"loo","2.9.0"
"loomR","0.2.0"
"lpSolve","5.6.23"
"lsa","0.73.4"
"lsei","1.3-0"
"lubridate","1.9.5"
"maftools","2.6.05"
"magrittr","2.0.4"
"manipulate","1.0.1"
"mapproj","1.2.12"
"maps","3.4.3"
"maptools","1.1-8"
"marginaleffects","0.32.0"
"margins","0.3.28"
"markdown","2.0"
"marqLevAlg","2.0.8"
"mathjaxr","2.0-0"
"matrixStats","1.5.0"
"matrixcalc","1.0-6"
"maxLik","1.5-2.2"
"mc2d","0.2.1"
"mclogit","0.9.15"
"mclust","6.1.2"
"mcmc","0.9-8"
"mco","1.17"
"mcprogress","0.1.1"
"measures","0.3"
"memisc","0.99.31.8.3"
"memoise","2.0.1"
"merDeriv","0.2-5"
"merTools","0.6.4"
"metaBMA","0.6.9"
"metadat","1.4-0"
"metafor","4.8-0"
"metaplus","1.0-8"
"methods","4.0.5"
"mgcv","1.9-1"
"mhurdle","1.3-2"
"mice","3.19.0"
"microbenchmark","1.5.0"
"mime","0.13"
"minet","3.48.0"
"miniUI","0.1.2"
"minpack.lm","1.2-4"
"minqa","1.2.8"
"misc3d","0.9-2"
"miscTools","0.6-30"
"mistyR","1.6.0"
"mitml","0.4-5"
"mixdist","0.5-5"
"mixtools","2.0.0.1"
"mlbench","2.1-7"
"mlmRev","1.0-8"
"mlr","2.19.3"
"mlrMBO","1.1.6"
"mnormt","2.1.2"
"mockery","0.4.5"
"modelbased","0.14.0"
"modelr","0.1.11"
"modeltools","0.2-24"
"moments","0.14.1"
"monocle","2.30.0"
"mratios","1.4.4"
"msm","1.8.2"
"multcomp","1.4-30"
"multcompView","0.1-11"
"multgee","1.9.0"
"multicool","1.0.1"
"multimode","1.5"
